自媒体	name	匹配度	总停留时长
有车以后	瑞风	100	1802.1089087013422
有车以后	凌派	100	8049.010221799942
有车以后	科鲁兹	100	14582.04139815059
有车以后	帝豪	100	170961.49404856117
有车以后	福睿斯	100	14674.293555264087
有车以后	瑞纳	100	4790.166548195772
有车以后	卡罗拉	100	142498.20157655008
有车以后	飞度	100	74320.81444362082
有车以后	轩逸	100	81461.22853996545
有车以后	荣威RX5	100	65272.83369385158
有车以后	缤智	100	102775.9312332843
有车以后	福克斯	100	27950.079470645163
有车以后	威驰	100	27643.704820026807
有车以后	威朗	100	7965.809930658502
有车以后	本田XR-V	100	20126.395957799683
有车以后	指南者	100	29081.114085842328
有车以后	逍客	100	66695.515784806
有车以后	长安CS75	100	71107.76981113953
有车以后	科沃兹	100	2328.483194380925
有车以后	速腾	100	81997.5186862966
有车以后	宝来	100	45454.655130014304
有车以后	哈弗H6	100	312328.1674664693
有车以后	捷达	100	130471.63639030886
有车以后	标致3008	100	1352.0222445192162
有车以后	哥瑞	100	816.3417146615003
有车以后	桑塔纳	100	32799.10151574494
有车以后	哈弗H2	100	41060.639020885814
有车以后	英朗	100	120498.22132318399
有车以后	锋范	100	11179.046836010402
有车以后	朗逸	100	159256.584008563
有车以后	宝骏560	100	70142.82480832722
有车以后	途观	100	199840.0005117327
有车以后	瑞风S3	100	23828.9579968033
有车以后	传祺GS4	100	94451.83031875402
有车以后	大迈X5	100	609.4293439350239
有车以后	本田CR-V	100	123163.58562707296
有车以后	奇骏	99	59765.016931774764
有车以后	POLO	99	1985.9422459537677
有车以后	思域	97	129027.18135808622
有车以后	RAV4荣放	96	20104.794167056192
有车以后	长安CS35	96	14899.226982404081
有车以后	途胜	95	6827.519048452928
有车以后	欧蓝德	94	51722.05262824871
有车以后	雷凌	94	26697.640358128596
有车以后	哈弗H1	94	1739.26217277544
有车以后	景逸X5	93	8365.97033075153
有车以后	长安CX70	92	21712.13775961125
有车以后	翼虎	92	17959.270023640427
有车以后	森雅R7	91	6813.108448106376
有车以后	逸动	91	11893.744796869945
有车以后	荣威360	90	663.9629781302112
有车以后	五菱宏光	90	158951.5069510951
有车以后	宝骏730	90	112963.17653936797
有车以后	艾瑞泽7	90	1899.2748152004162
有车以后	博越	90	82067.44560615408
有车以后	启辰T90	89	8134.083945091544
有车以后	明锐	89	19510.411982108817
有车以后	哈弗H6 Coupe	89	9645.629550302285
有车以后	东风风光580	89	28785.412042944634
有车以后	猎豹CS10	88	4506.033854132786
有车以后	马自达CX-5	87	20568.87759633008
有车以后	标致4008	87	12211.737150392135
有车以后	瑞风S2	87	3738.729607544531
有车以后	汉兰达	86	335159.09838352323
有车以后	瑞虎3	86	4113.333224305898
有车以后	传祺GS8	85	104570.12655087218
有车以后	凌渡	85	10692.993571476833
有车以后	马自达MX-5	85	21265.24125850885
有车以后	北汽幻速S6	85	570.9310924866224
有车以后	起亚K5	85	1749.0062279832089
有车以后	科雷傲	84	12580.881222798527
有车以后	马自达CX-4	82	3859.242537718805
有车以后	杰德	82	11098.39018288563
有车以后	起亚K2	81	1843.476838669656
有车以后	远景	81	47469.546440169994
有车以后	艾瑞泽5	79	17413.942600891074
有车以后	博瑞	79	98401.56202605487
有车以后	瑞虎5	78	17012.82514049775
有车以后	雅阁	77	136508.81742039492
有车以后	比亚迪F3	77	7442.3877811985185
有车以后	东风风神AX7	76	4456.66948556787
有车以后	Yeti	76	2591.366464077462
有车以后	速派	75	11056.926049155338
有车以后	昂科威	74	37812.742398171074
有车以后	观致3	72	14375.266645377378
有车以后	朗动	72	3861.1001903527267
有车以后	凯美瑞	71	87792.86082816165
有车以后	北汽幻速S3	71	311.79443099273607
有车以后	众泰T600	71	14708.480319858074
有车以后	欧尚	71	33952.051896192614
有车以后	风行S500	70	296.38403361344535
有车以后	Tiguan	69	3891.5902984686295
有车以后	起亚K3	68	1767.1890221478093
有车以后	天籁	68	12849.77627411729
有车以后	启辰T70	68	2717.0583972062423
有车以后	红旗H7	67	2477.8749022599563
有车以后	阿特兹	67	19354.565056014737
有车以后	锐界	66	42480.379559113535
有车以后	高尔夫	66	11702.907171214754
有车以后	迈锐宝	66	13758.314741304715
有车以后	名图	66	5802.3248220185815
有车以后	哈弗H9	65	55550.59460322808
有车以后	陆风X7	65	5412.658960648971
有车以后	比亚迪宋	64	52134.38688405187
有车以后	锐腾	64	1961.7693767569624
有车以后	蒙迪欧	64	13883.183848286299
有车以后	哈弗H8	63	14799.872148969129
有车以后	五菱之光	63	1651.5414586981292
有车以后	奥德赛	63	44050.30152933279
有车以后	唐	62	31928.832370467277
有车以后	奥迪Q3	61	12019.226856014908
有车以后	福美来	61	2599.9033299703
有车以后	别克GL8	60	43977.61921694236
有车以后	思铂睿	59	10415.703812719274
有车以后	途锐	58	14416.47243177195
有车以后	迈腾	57	136091.86248255597
有车以后	比亚迪S7	56	4553.625353802005
有车以后	马自达6	56	8281.037310610713
有车以后	途安	56	16173.080111778201
有车以后	宝马X6	55	10797.598538500082
有车以后	马自达CX-9	55	5153.310831493249
有车以后	帕萨特	55	70072.76810749355
有车以后	普拉多	55	86798.23329481225
有车以后	菱智	55	3327.918290667365
有车以后	揽胜	54	69510.05658281813
有车以后	揽胜极光	53	4704.212386861417
有车以后	海马S5	53	2579.4395269892116
有车以后	埃尔法	51	12682.38615393695
有车以后	冠道	50	10922.150667839833
有车以后	一汽-大众CC	49	50124.75239435758
有车以后	沃尔沃XC60	48	27442.92266735785
有车以后	宝马X1	47	20997.44461360634
有车以后	Macan	47	7314.121223554143
有车以后	君越	47	7466.720224594586
有车以后	悦翔V7	47	1326.1817261068022
有车以后	牧马人	45	32201.11379964063
有车以后	撼路者	45	12990.318624071822
有车以后	奥迪A3	45	27272.035779454287
有车以后	雪铁龙C6	44	5778.849378851505
有车以后	标致308	44	4862.84230768763
有车以后	悦纳	43	314.21495256187586
有车以后	探险者	43	9835.90600127583
有车以后	沃尔沃S90	41	13034.609969713421
有车以后	欧诺	41	4388.251984389187
有车以后	奥迪Q7	40	22826.96613843099
有车以后	辉昂	40	6694.821526602885
有车以后	红旗L5	40	19750.63331905099
有车以后	沃尔沃XC90	39	6873.873342832057
有车以后	宝马X3	39	27415.919305831987
有车以后	皇冠	39	37326.25435237048
有车以后	奥迪Q5	39	62323.73587024735
有车以后	宝马X5	38	19059.129894074325
有车以后	兰德酷路泽	38	33322.04382587784
有车以后	雷克萨斯RX	37	4175.279973582808
有车以后	雷克萨斯NX	37	4471.232972282248
有车以后	宝马5系	36	79612.19613862487
有车以后	Cayenne	35	10198.881471764673
有车以后	秦	34	7566.559806278592
有车以后	辉腾	34	7789.315573027602
有车以后	宝马3系	34	23819.58788626178
有车以后	奥迪A6L	33	24049.435844800784
有车以后	凯迪拉克CT6	33	6096.2401697149135
有车以后	奥迪A8	33	8768.042823931175
有车以后	奥迪A7	33	1276.2148100141037
有车以后	丰田86	33	1255.1510969190313
有车以后	奔驰S级	32	19502.394759337163
有车以后	奥迪A4L	31	27548.165541753617
有车以后	瑞风M3	30	175.47712944332662
有车以后	东南DX7	30	5430.0380389135
有车以后	宝马7系	30	13370.38760308017
有车以后	Panamera	28	12360.448936766976
有车以后	奔驰C级	27	12115.958364606804
有车以后	奔驰E级	25	25544.901154309817
有车以后	哈弗H5	23	7446.322110102165
有车以后	保时捷911	23	4388.069757620095
有车以后	绅宝X35	20	1161.0987173310825
有车以后	福特F-150	18	6250.2279779567
有车以后	坦途	14	2459.8816392082836
有车以后	五十铃皮卡	7	1520.4824054834055
自媒体	name	匹配度	总停留时长
汽车大师	桑塔纳	50	32799.10151574494
汽车大师	速腾	43	81997.5186862966
汽车大师	五菱宏光	43	158951.5069510951
汽车大师	五菱之光	40	1651.5414586981292
汽车大师	福克斯	40	27950.079470645163
汽车大师	科沃兹	39	2328.483194380925
汽车大师	思域	38	129027.18135808622
汽车大师	宝来	37	45454.655130014304
汽车大师	POLO	36	1985.9422459537677
汽车大师	朗逸	35	159256.584008563
汽车大师	福睿斯	35	14674.293555264087
汽车大师	科鲁兹	34	14582.04139815059
汽车大师	雷凌	34	26697.640358128596
汽车大师	唐	34	31928.832370467277
汽车大师	捷达	34	130471.63639030886
汽车大师	大迈X5	33	609.4293439350239
汽车大师	博瑞	33	98401.56202605487
汽车大师	卡罗拉	33	142498.20157655008
汽车大师	汉兰达	33	335159.09838352323
汽车大师	高尔夫	33	11702.907171214754
汽车大师	朗动	33	3861.1001903527267
汽车大师	宝骏730	32	112963.17653936797
汽车大师	英朗	32	120498.22132318399
汽车大师	哈弗H6	32	312328.1674664693
汽车大师	帝豪	31	170961.49404856117
汽车大师	威朗	31	7965.809930658502
汽车大师	宝骏560	30	70142.82480832722
汽车大师	轩逸	30	81461.22853996545
汽车大师	比亚迪F3	30	7442.3877811985185
汽车大师	雅阁	30	136508.81742039492
汽车大师	传祺GS8	29	104570.12655087218
汽车大师	博越	29	82067.44560615408
